division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;Dir;;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Colobodontium;vulpinum;;;(Mont.) S. P. Churchill & W. R. Buck;Colobodontium vulpinum;Colobodontium_vulpinum;;6;;0;Am 4, Am 5.;;Brasil, Colombia, Ecuador, Per£, Surinam, Venezuela;;;;;;;;;;;;En Pursell 1973 como Potamium vulpinum (Mont.) Mitt.
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;1;Conostomum;pentastichum;;;(Brid.) Lindb.;Conostomum pentastichum;Conostomum_pentastichum;;6;;0;;;Argentina, Colombia, Brasil, Bolivia, Per£ y Venezuela;Andes,;;Sax°cola;Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Bartramiales;Bartramiaceae;1;Conostomum;tetragonum;;;(Hedw.) Lindb.;Conostomum tetragonum;Conostomum_tetragonum;;6;;0;Am 1, Am 2, Am 4, Am 6, Afr 4, As 1, Austr 1, Austr 2, Eur.;;Venezuela,  Colombia,  Ecuador,  Per£ y Bolivia;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Cratoneuron;filicinum;;;(Hedw.) Spruce;Cratoneuron filicinum;Cratoneuron_filicinum;;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5, Afr 1, As 1, As 2, As 3, Austr 2, Eur;;Estados Unidos,  Europa,  Asia, Ocean°a,  Chile,  Colombia,  Ecuador y Per£.;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Crossomitrium;epiphyllum;;;(Mitt.) MÅll. Hal.;Crossomitrium epiphyllum;Crossomitrium_epiphyllum;;6;;0;Am 2, Am 3, Am 4.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Crossomitrium;goebelii;;;MÅll. Hal.;Crossomitrium goebelii;Crossomitrium_goebelii;;6;;1;;;;;;;;;;;;;;;Status undetermined. Type not located. No sale en Tr¢picos.org (ANBRY)
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Crossomitrium;patrisiae;;;(Brid.) MÅll. Hal.;Crossomitrium patrisiae;Crossomitrium_patrisiae;;6;;0;Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Crossomitrium;phragmidiaceum;;;MÅll. Hal.;Crossomitrium phragmidiaceum;Crossomitrium_phragmidiaceum;;6;;1;;;;;;;;;;;;;;;Status undetermined. Type not located.
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Crossomitrium;sintenisii;;;MÅll. Hal.;Crossomitrium sintenisii;Crossomitrium_sintenisii;;6;;0;Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Crossomitrium;tenellum;;;MÅll. Hal.;Crossomitrium tenellum;Crossomitrium_tenellum;;6;;1;Am 4.;Venezuela;;;;;;;;;;;;;Status undetermined. Type not located. Conocido solo de la colecci¢n tipo A. Ernst 1872 colectado en la hacienda del Marquez del Toro,  Araira (Colonia Tovar)
