division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;sentosum;;;(Sull.) A. Jaeger;Trichosteleum sentosum;6;;0;Am 3, Am 4, Am 5.;;Belice,  Brasil,  Puerto Rico, Colombia,  Colombia,  Trinidad y Tobago,  Honduras,  Panamá,  Jamaica,  Nicaragua;;;;;;;;;;;;En bosque enano enmarañado y musgoso
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;vincentinum;;;(Mitt.) A. Jaeger;Trichosteleum vincentinum;6;;0;Am 3, Am 4.;;;;;Lignícola;Madera en descomposición;;;;;;;;
 Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Wijkia;alstonii;;;(E.B. Bartram) Ireland;Wijkia alstonii;6;;1;Am 4.;Venezuela;;;;;;Venezuela;CR;A2c B2b iii;León et al. 2013a;;;;
 Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sphagnum;alegrense;;;Warnst.;Sphagnum alegrense;6;;0;Am 4, Am 5.;;Guadalupe, Dominica, Brasil y Venezuela;;;;;;;;;;;;En tropicos.org reportada para Austria, Canadá, China, Colombia, Checoslovakia, Finlandia, Alemania, Groenlandia, España, Estados Unidos.
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;capillifolium;;;(Ehrh.) Hedw.;Sphagnum capillifolium;6;;0;;;Austria, Brasil, Canadá, Chile, Costa Rica, China, Colombia, Ecuador, Alemania, Suecia, Estados Unidos, Venezuela.;;;Terrestre;Suelo;;;;;;;;En Griffin III 1977c como Sphagnum capillaceum (F.W. Weiss) Schrank 
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;capillifolium;var. tenellum;;(Schimp) H. A. Crum;Sphagnum capillifolium var. tenellum;8;;0;;;Canadá,  China,  Checoslovaquia,  Alemania,  Irlanda,  Estados Unidos,  Groenlandia,  Mongolia;;;;;;;;;!Sphagnum capillifolium var. tenellum (Schimp) H. A. Crum Nombre aceptado por Crum 1995 Contri. Univ. Mich. Herb. 11(2): 90.;Ussher M. S. (MERC) ;2012-12-06;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;capillifolium;var. tenerum;;(Sull. & Lesq. ex Sull.) H. A. Crum;Sphagnum capillifolium var. tenerum;8;;0;;;;;;;;;;;;!Sphagnum capillifolium var. tenerum (Sull. & Lesq. ex Sull.) H. A. Crum Nombre aceptado por Crum 1995 Contri. Univ. Mich. Herb. 11(2): 90.;Ussher M. S. (MERC) ;2012-12-06;En Pittier 1936 como Sphagnum capillaceum var. tenellum Andrews (Schimp.) AL
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;cuspidatum;;;Ehrh ex Hoff;Sphagnum cuspidatum;6;;0;Am 1, Am 4, Am 5, Am 6, Afr 1, As 2, As 3, As 4, Austr 1, Austr 2, Eur, Oc.;;;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;compactum;;;Lam. & DC.;Sphagnum compactum;6;;0;Am 1, Am 4, Afr 1, As 1, Austr 1, Eur.;;;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;falcatulum;;;Besch.;Sphagnum falcatulum;6;;0;;;;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;fraudulentum;;;H.A. Crum;Sphagnum fraudulentum;6;;1;Am 4.;Venezuela;;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;funkiae;;;H. A. Crum;Sphagnum funkiae;6;;1;Am 4.;Venezuela;Venezuela;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;gracilescens;;;Hampe ex Müll. Hal.;Sphagnum gracilescens;6;;0;;;Brasil;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;0;Sphagnum;hertelianum;;;H.A. Crum;Sphagnum hertelianum;6;;1;Am 4.;Venezuela;Venezuela. Endemic to the Guayana Highlands Venezuela.;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;juliforme;;;H. A. Crum;Sphagnum juliforme;6;;1;Am 4.;Venezuela;Venezuela;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;liesneri;;;H.A. Crum;Sphagnum liesneri;6;;1;Am 4.;Venezuela;;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;limbatum;;;Mitt.;Sphagnum limbatum;6;;0;Am 3, Am 4.;;Bolivia,  Colombia,  Costa Rica,  Ecuador,  Guatemala,  México;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;maegdefraui;;;H. Suzuki;Sphagnum maegdefraui;6;;1;Am 4.;Venezuela;Venezuela;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;magellanicum;;;Brid.;Sphagnum magellanicum;6;;0;Am 1, Am 2, Am 4, Am 5, Am 6, Afr 4, As 1, As 2, As 3, As 4, Eur.;;Argentina, Bolivia, Brasil, Canadá, República Dominicana, Chile, China, Colombia, Costa Rica, Checoslovaquia, Ecuador, Finlandia, Francia, Fallando Isla, Alemania, Gran Bretaña, Guyana, Honduras, Nicaragua, Islandia, Panamá, Perú, Sur África, Surinam, Suecia, Estados Unidos, Venezuela;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;meridense;;;(Hampe) Müll. Hal.;Sphagnum meridense;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;En Pittier 1936 como Sphagnum coryphaeum Warnst. Y Sphagnum flavicaule Warnst.
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;0;Sphagnum;negrense;;;Mitt.;Sphagnum negrense;6;;0;Am 4, Am 5.;Venezuela;Venezuela,  Guyana,  Brasil;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;ornatum;;;Crum;Sphagnum ornatum;6;;0;Am 4, Am 5.;;Venezuela,  Brasil;;;;;;;;;;;;En Churchill et al. 2000 Sale como auct. non L., excluded, Those reports are probable incorrect.
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;oxyphyllum;;;Warnst.;Sphagnum oxyphyllum;6;;0;Am 4, Am 5.;;Venezuela;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;palustre;;;L.;Sphagnum palustre;6;;0;;;Brasil, Canadá, Islas de Barlovento, Trinidad y Tobago, China, Córcega, Checoslovaquia, Ecuador, Francia, Alemania, Guyana, Islandia, Islandia, Japón, México, Países Bajos, Noruega, Suecia, Taiwán, Estados Unidos, Venezuela;;;;;;;;;;;;
