Hookeriopsis cruegeriana; (C. Muell.) Jaeg;Thamniopsis cruegeriana (Müll. Hal.) W. R. Buck;Thamniopsis cruegeriana;;
Hookeriopsis guadalupensis ;(Spreng.) A. Jaeger ;Trachyxiphium guadalupense (Spreng. ) Buck.;Trachyxiphium guadalupense;;
Hookeriopsis incurva; (Hornsch.) Broth.;Thamniopsis incurva (Hornsch.) W. R. Buck;Thamniopsis incurva;;
Hookeriopsis obtusifolia ;E.B. Bartram ;Brymela obtusifolia (E.B. Bartram) W.R. Buck;Brymela obtusifolia;;
Hookeriopsis parkeriana ;(Hook. & Grev.) A. Jaeger ;Brymela parkeriana (Hook. & Grev.) W.R. Buck;Brymela parkeriana;;
Hookeriopsis pernutans ;(Müll. Hal.) Broth. ;Trachyxiphium pernutans (Müll. Hal.) W. R. Buck;Trachyxiphium pernutans;;
Hookeriopsis plumicaulis ;(Müll. Hal.) Broth. ;Isopterygium plumicaule (Müll. Hal.) W.R. Buck;Isopterygium plumicaule;;
Hookeriopsis subfalcata ;(Hampe) A. Jaeger ;Trachyxiphium subfalcatum (Hampe) W.R. Buck;Trachyxiphium subfalcatum;;
Hookeriopsis undata; (Hedw.) A. Jaeger;Thamniopsis undata (Hedw.) W. R. Buck;Thamniopsis undata;;
!Lepidopilidium purpurissatum ;(Müll. Hal.) Broth. ;Lepidopilum scabrisetum (Schwägr.) Steere;Lepidopilum scabrisetum;;
Schizomitrium bernoullii; (Hampe) F.D. Bowers ;Callicostella bernoullii (Hampe) Broth.;Callicostella bernoullii;;
Schizomitrium mexicanum ;(H. Rob. & W.H. Welch) F.D. Bowers ;Callicostella mexicana H. Rob. & W.H. Welch;Callicostella mexicana;;
Schizomitrium pallidum ;(Hornsch.) H. A.Crom & L. E. Anderson;Callicostella pallida (Hornsch.) Ångstr.;Callicostella pallida;;
Schizomitrium rufescens; (Mitt.) J. Florsch. ;Callicostella rufescens (Mitt.) A. Jaeger;Callicostella rufescens;;
Ectropothecium globitheca ;(C. Müll.) Mitt. ;Ectropothecium leptochaeton (Schwägr.) W.R. Buck;Ectropothecium leptochaeton;;
Isopterygium subtenerrimum ;(Müll. Hal.) Paris ;Isopterygium affusum Mitt.;Isopterygium affusum;;
Glossadelphus truncatulus; (Müll. Hal.) M. Fleisch. ;Phyllodon truncatulus (Müll. Hal.) W.R. Buck;Phyllodon truncatulus;;
Hypnella philonotula ;(Müll. Hal.) Kindb. ;Hypnella leptorrhyncha (Hook. & Grev.) A. Jaeger;Hypnella leptorrhyncha;;
Hypnella pilotrichelloides ;Broth. ;Hypnella diversifolia (Mitt.) A. Jaeger;Hypnella diversifolia;;
Hypnum mirabile ;Bartr.;Hypnum cupressiforme var. lacunosum Brid.;Hypnum cupressiforme var. lacunosum;;
Hypnum polypterum ;(Mitt.) Broth. ;Caribaeohypnum polypterum (Mitt.) Ando & Higuchi;Caribaeohypnum polypterum;;
Isopterygium alstonii ;E.B. Bartram ;Wijkia alstonii (E.B. Bartram) Ireland;Wijkia alstonii;;
Isopterygium robusticaule ;E.B. Bartram ;Irlandiaia robusticaulis (E.B. Bartram) W.R. Buck;Irlandiaia robusticaulis;;
Isopterygium subtenerum ;Besch;Isopterygium tenerum (Sw.) Mitt.;Isopterygium tenerum;;
Microthamnium diminutivum ;(Hampe) A. Jaeger;Chryso-hypnum diminutivum (Hampe) W. R. Buck;Chryso-hypnum diminutivum;;
Microthamnium langsdorffii; (Hook.) Mitt.;Mittenothamnium langsdorffii (Hook.) Cardot;Mittenothamnium langsdorffii;;
Microthamnium nanopolymorphum ;(Müll. Hal.) Broth.;Mittenothamnium nanopolymorphum (Müll. Hal.) Cardot;Mittenothamnium nanopolymorphum;;
Microthamnium reptans ;(Hedw.) Mitt.;Mittenothamnium reptans (Hedw.) Cardo;Mittenothamnium reptans;;
Microthamnium reptans ;(Hedw.) Mitt.;Mittenothamnium subobscurum (Hampe) Cardot;Mittenothamnium subobscurum;;
Microthamnium thelistegum; (Müll. Hal.) Mitt.;Chryso-hypnum diminutivum (Hampe) W. R. Buck;Chryso-hypnum diminutivum;;
Microthamnium viscidulum ;(Hampe) Mitt.;Mittenothamnium viscidulum (Hampe) Cardot;Mittenothamnium viscidulum;;
Microthamnium volvatum ;(Hampe) A. Jaeger;Mittenothamnium volvatum (Hampe) Cardot;Mittenothamnium volvatum;;
Mittenothamnium elegantulum ;(Hook.) Cardot ;Chryso-hypnum elegantulum (Hook.) Hampe;Chryso-hypnum elegantulum;;
Mnium ligulatum ;Willd. ex Brid.;Plagiomnium undulatum (Hedw.) T.J. Kop.;Plagiomnium undulatum;;
Stereodon hamatus ;Mitt.;Pylaisiella falcata Schimp.;Pylaisiella falcata;;
Hypopterygium flavescens ;Hampe;Hypopterigium tamarisci (Sw.) Brid.;Hypopterigium tamarisci;;
Hypopterygium laricinum; (Hook.) Brid.;Hypopterigium tamarisci (Sw.) Brid.;Hypopterigium tamarisci;;
Pseudocryphaea flagellifera ;(Brid.) Britt.;Pseudocryphaea domingensis (Spreng.) W. R. Buck;Pseudocryphaea domingensis;;
Lepyrodon suborthostichus ;(Müll. Hal.) Hampe;Lepyrodon tomentosus (Hook.) Mitt.;Lepyrodon tomentosus;;
Lepyrodon trichophyllus ;(Sw. ex Hedw.) Mitt.;Lepyrodontopsis trichophylla (Sw. ex Hedw.) Broth.;Lepyrodontopsis trichophylla;;
Leskea gracillima; (Taylor) Mitt.;Leskea angustata Taylor;Leskea angustata;;
Leucodon domingensis ;(Spreng.) Mitt.;Pseudocryphaea domingensis (Spreng.) W. R. Buck;Pseudocryphaea domingensis;;
Leucodontopsis floridana ;(Austin) E. Britton;Henicodium geniculatum (Mitt.) W. R. Buck;Henicodium geniculatum;;
Leucomium cuspidatum; (Müll. Hal.) A. Jaeger ;Leucomium strumosum (Hornsch.) Mitt.;Leucomium strumosum;;
Leucomium lignicola; Spruce ex Mitt. ;Leucomium strumosum (Hornsch.) Mitt.;Leucomium strumosum;;
Carinafolium tatei ;R.S. Williams;Octoblepharum tatei (R. S. Williams) E. B. Bartram;Octoblepharum tatei;;
Leucobryum longifolium; Hampe;Leucobryum giganteum Müll Hal;Leucobryum giganteum;;
Groutiella schlumbergeri ;(Schimp.) Wijk & Margad. ;Groutiella tomentosa (Hornsch.) Wijk & Margad.;Groutiella tomentosa;;
Macromitrium dussii ;Broth. in Urban ;Macromitrium leprieurii Mont.;Macromitrium leprieurii;;
Macromitrium schwaneckeanum ;Hampe ;Macromitrium cirrosum (Hedw.) Brid.;Macromitrium cirrosum;;
Zygodon dichotomous ;Hampe;Zygodon peruvianus Sull.;Zygodon peruvianus;;
Floribundaria usneoides ;(Broth.) Broth.;Floribundaria flaccida (Mitt.) Broth.;Floribundaria flaccida;;
Lindigia trichomitria; Müll. Hal.;Aerolindigia capillacea (Hornsch.) M. Menzel;Aerolindigia capillacea;;
Meteoriopsis patula ;(Hedw.) Broth.;Zelometeorium patulum (Hook.) Manuel;Zelometeorium patulum;;
